objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
4995,0.755,0.734,0.6631,12.172185430463573,9.659400544959123
4999,0.8367,0.8256,0.7778,7.039560176885377,5.789728682170537
5000,0.8765,0.8722,0.8517,2.8294352538505345,2.350378353588622
5874,0.4853,0.4523,0.3951,18.586441376468162,12.64647357948264
5924,0.4865,0.4534,0.3965,18.4994861253854,12.549625055138952
5933,0.4866,0.4536,0.3964,18.53678586107686,12.610229276895948
5938,0.4837,0.4507,0.3941,18.52387843704776,12.558242733525624
5939,0.4846,0.4515,0.3944,18.613289310771773,12.646733111849398
5943,0.4862,0.453,0.396,18.552036199095024,12.58278145695364
5950,0.4857,0.4528,0.3963,18.406423718344662,12.47791519434629
5953,0.4876,0.4546,0.3974,18.49876948318294,12.582490101187863
5957,0.4865,0.4535,0.3961,18.58170606372045,12.657111356119074
5963,0.4869,0.4537,0.3964,18.58697884575889,12.629490852986558
5964,0.4867,0.4535,0.3958,18.676802958701465,12.723263506063953
5965,0.4852,0.4522,0.3953,18.52844187963727,12.58292790800531
5968,0.487,0.4539,0.3967,18.542094455852155,12.60189469046046
5981,0.4886,0.4555,0.398,18.542775276299626,12.623490669593851
5992,0.4876,0.4545,0.3975,18.47826086956521,12.541254125412541
6007,0.4841,0.4506,0.3932,18.77711216690766,12.73857079449623
6020,0.4832,0.4497,0.3918,18.91556291390729,12.875250166777855
6024,0.4834,0.4498,0.3928,18.742242449317338,12.67229879946643
6028,0.4842,0.4506,0.3937,18.690623709211074,12.627607634265425
6031,0.4836,0.4502,0.3929,18.755169561621166,12.727676588183021
7712,0.4768,0.4429,0.3825,19.77768456375839,13.637389930006774
7717,0.4756,0.4416,0.3815,19.785534062237176,13.60960144927536
7726,0.4769,0.4429,0.3816,19.983224994757812,13.840596071347939
7728,0.4751,0.4411,0.3807,19.86950115765103,13.693040126955342
7750,0.4753,0.4413,0.3808,19.882179675994102,13.709494674824382
